date,port,at_berth,at_anchorage
2026-08-03,"All Ports, ( As on 03 Aug 2026 )",,
2026-08-03,Chennai,8.0,1.0
2026-08-03,Cochin,3.0,4.0
2026-08-03,Deendayal,15.0,47.0
2026-08-03,Haldia Dock Complex,8.0,16.0
2026-08-03,Indian Port Association - Daily Vessels Position,,
2026-08-03,J.N.P.A,14.0,3.0
2026-08-03,Kamarajar,4.0,4.0
2026-08-03,Kolkata Dock System,8.0,1.0
2026-08-03,Mormugao,3.0,1.0
2026-08-03,Mumbai,11.0,1.0
2026-08-03,New Mangalore,6.0,6.0
2026-08-03,Paradip,24.0,31.0
2026-08-03,V.O.Chidambaranar,16.0,6.0
2026-08-03,Visakhapatnam,15.0,8.0
2026-08-04,"All Ports, ( As on 04 Aug 2026 )",,
2026-08-04,Chennai,8.0,1.0
2026-08-04,Cochin,3.0,5.0
2026-08-04,Deendayal,16.0,53.0
2026-08-04,Haldia Dock Complex,8.0,16.0
2026-08-04,Indian Port Association - Daily Vessels Position,,
2026-08-04,J.N.P.A,12.0,4.0
2026-08-04,Kamarajar,6.0,6.0
2026-08-04,Kolkata Dock System,7.0,2.0
2026-08-04,Mormugao,4.0,2.0
2026-08-04,Mumbai,12.0,1.0
2026-08-04,New Mangalore,8.0,6.0
2026-08-04,Paradip,22.0,29.0
2026-08-04,V.O.Chidambaranar,16.0,7.0
2026-08-04,Visakhapatnam,10.0,5.0
2026-08-10,"All Ports, ( As on 10 Aug 2026 )",,
2026-08-10,Chennai,3.0,0.0
2026-08-10,Cochin,5.0,0.0
2026-08-10,Deendayal,21.0,52.0
2026-08-10,Haldia Dock Complex,11.0,12.0
2026-08-10,Indian Port Association - Daily Vessels Position,,
2026-08-10,J.N.P.A,15.0,3.0
2026-08-10,Kamarajar,6.0,3.0
2026-08-10,Kolkata Dock System,5.0,1.0
2026-08-10,Mormugao,2.0,0.0
2026-08-10,Mumbai,14.0,0.0
2026-08-10,New Mangalore,7.0,2.0
2026-08-10,Paradip,21.0,27.0
2026-08-10,V.O.Chidambaranar,10.0,3.0
2026-08-10,Visakhapatnam,14.0,6.0
2026-08-11,"All Ports, ( As on 11 Aug 2026 )",,
2026-08-11,Chennai,6.0,1.0
2026-08-11,Cochin,4.0,0.0
2026-08-11,Deendayal,18.0,50.0
2026-08-11,Haldia Dock Complex,11.0,14.0
2026-08-11,Indian Port Association - Daily Vessels Position,,
2026-08-11,J.N.P.A,13.0,4.0
2026-08-11,Kamarajar,6.0,3.0
2026-08-11,Kolkata Dock System,7.0,2.0
2026-08-11,Mormugao,3.0,0.0
2026-08-11,Mumbai,15.0,0.0
2026-08-11,New Mangalore,6.0,2.0
2026-08-11,Paradip,25.0,25.0
2026-08-11,V.O.Chidambaranar,11.0,4.0
2026-08-11,Visakhapatnam,17.0,7.0
2026-08-14,"All Ports, ( As on 14 Aug 2026 )",,
2026-08-14,Chennai,7.0,2.0
2026-08-14,Cochin,3.0,2.0
2026-08-14,Deendayal,19.0,48.0
2026-08-14,Haldia Dock Complex,8.0,17.0
2026-08-14,Indian Port Association - Daily Vessels Position,,
2026-08-14,J.N.P.A,16.0,4.0
2026-08-14,Kamarajar,3.0,1.0
2026-08-14,Kolkata Dock System,5.0,2.0
2026-08-14,Mormugao,3.0,0.0
2026-08-14,Mumbai,15.0,3.0
2026-08-14,New Mangalore,7.0,1.0
2026-08-14,Paradip,24.0,25.0
2026-08-14,V.O.Chidambaranar,13.0,3.0
2026-08-14,Visakhapatnam,13.0,6.0
2026-08-17,"All Ports, ( As on 17 Aug 2026 )",,
2026-08-17,Chennai,11.0,4.0
2026-08-17,Cochin,7.0,0.0
2026-08-17,Deendayal,20.0,48.0
2026-08-17,Haldia Dock Complex,11.0,16.0
2026-08-17,Indian Port Association - Daily Vessels Position,,
2026-08-17,J.N.P.A,12.0,6.0
2026-08-17,Kamarajar,5.0,4.0
2026-08-17,Kolkata Dock System,6.0,1.0
2026-08-17,Mormugao,2.0,3.0
2026-08-17,Mumbai,17.0,6.0
2026-08-17,New Mangalore,4.0,5.0
2026-08-17,Paradip,26.0,23.0
2026-08-17,V.O.Chidambaranar,14.0,4.0
2026-08-17,Visakhapatnam,18.0,10.0
2026-08-18,"All Ports, ( As on 18 Aug 2026 )",,
2026-08-18,Chennai,9.0,4.0
2026-08-18,Cochin,3.0,0.0
2026-08-18,Deendayal,20.0,54.0
2026-08-18,Haldia Dock Complex,9.0,20.0
2026-08-18,Indian Port Association - Daily Vessels Position,,
2026-08-18,J.N.P.A,16.0,7.0
2026-08-18,Kamarajar,6.0,2.0
